Name,Category,Type,LGA,Tentative_Population,Priority_Tier,Latitude,Longitude,Navigation_Link
Unmapped Cluster (Ajaokuta - 7.5668),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.56681254763297,6.55361076622481,"https://www.google.com/maps/search/?api=1&query=7.56681254763297,6.55361076622481"
Unmapped Cluster (Ajaokuta - 7.6118),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.61187050364808,6.64271770588411,"https://www.google.com/maps/search/?api=1&query=7.61187050364808,6.64271770588411"
Unmapped Cluster (Ajaokuta - 7.6494),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.649456985285326,6.69513981223276,"https://www.google.com/maps/search/?api=1&query=7.649456985285326,6.69513981223276"
Unmapped Cluster (Ajaokuta - 7.6682),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.668218996881869,6.713832586210602,"https://www.google.com/maps/search/?api=1&query=7.668218996881869,6.713832586210602"
Unmapped Cluster (Ajaokuta - 7.7767),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.776755857840756,6.69196654094543,"https://www.google.com/maps/search/?api=1&query=7.776755857840756,6.69196654094543"
Unmapped Cluster (Ajaokuta - 7.7764),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.776442386185683,6.69123974345401,"https://www.google.com/maps/search/?api=1&query=7.776442386185683,6.69123974345401"
Unmapped Cluster (Ajaokuta - 7.6333),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.633383132933151,6.637705404434708,"https://www.google.com/maps/search/?api=1&query=7.633383132933151,6.637705404434708"
Unmapped Cluster (Ajaokuta - 7.6421),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.642166088409794,6.644542510427268,"https://www.google.com/maps/search/?api=1&query=7.642166088409794,6.644542510427268"
Unmapped Cluster (Ajaokuta - 7.6113),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.611310072615941,6.645769324153429,"https://www.google.com/maps/search/?api=1&query=7.611310072615941,6.645769324153429"
Unmapped Cluster (Ajaokuta - 7.6322),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.632236850000001,6.6368315,"https://www.google.com/maps/search/?api=1&query=7.632236850000001,6.6368315"
